Province,Age,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
NL,0-14,40,60,70,130,130,100,55,45,50,80,80,45,45,95,140,75,50,115,125,115,80,20,25,60
NL,15-29,55,70,70,75,105,90,70,40,65,80,120,70,85,115,140,110,80,170,140,145,100,55,35,70
NL,30-44,75,120,130,125,145,125,100,60,110,135,115,80,130,165,175,125,100,205,230,165,145,75,60,85
NL,45-59,25,20,15,30,25,30,30,5,30,35,35,15,30,25,25,35,30,35,45,35,30,20,10,10
NL,60-74,0,0,5,5,0,10,10,5,10,10,5,0,10,5,10,0,10,20,15,10,10,0,5,10
NL,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,0-14,60,75,105,100,170,210,205,90,145,190,175,90,115,125,165,105,130,135,170,90,110,20,55,30
PE,15-29,40,50,65,50,100,130,105,70,150,130,145,180,155,130,150,115,185,185,300,155,180,190,85,145
PE,30-44,75,110,140,120,210,295,275,110,215,240,200,140,160,195,250,145,155,190,255,140,140,60,75,50
PE,45-59,25,55,50,65,70,115,100,35,95,75,105,40,50,70,115,65,65,85,130,60,60,15,35,25
PE,60-74,0,0,0,0,5,0,5,5,0,15,0,0,5,0,5,5,10,10,0,5,5,0,0,5
PE,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS,0-14,135,205,285,250,665,415,315,225,255,260,285,215,235,380,430,310,285,500,655,415,255,135,195,150
NS,15-29,145,165,230,200,425,440,270,220,340,330,300,305,450,455,460,420,360,590,635,490,320,350,150,220
NS,30-44,240,380,455,360,610,650,450,365,440,485,475,405,575,650,715,470,490,830,980,655,500,310,300,290
NS,45-59,65,60,70,60,125,90,75,45,75,75,55,65,55,100,65,70,100,145,165,125,80,55,55,50
NS,60-74,15,20,20,30,15,15,15,25,25,40,40,25,20,40,20,30,25,55,30,25,30,10,25,15
NS,75+,0,0,0,0,5,5,0,5,5,10,0,0,5,0,5,0,10,10,5,5,5,0,0,0
NB,0-14,155,115,210,205,855,315,285,195,200,305,320,210,310,330,410,245,295,495,585,345,310,120,220,145
NB,15-29,150,125,150,125,380,215,160,150,150,200,210,145,245,215,275,235,235,355,390,310,225,175,135,120
NB,30-44,210,215,295,215,555,395,370,240,295,465,430,305,500,510,515,400,435,710,780,500,420,240,265,215
NB,45-59,105,85,110,85,180,125,130,50,80,90,115,55,95,65,125,85,70,115,175,115,110,55,65,35
NB,60-74,5,10,5,0,20,5,20,15,15,20,15,10,10,10,15,15,15,25,25,20,10,0,10,5
NB,75+,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC,0-14,1745,2990,3135,2735,3200,3420,3640,2370,2600,3595,3265,2085,2255,3080,3645,2430,1715,2450,3070,2680,1800,480,1800,1125
QC,15-29,2640,3605,3770,3395,3820,3940,3535,2400,3735,3910,3290,2505,3075,3185,3750,2940,1920,2130,2530,2410,1930,775,1435,1990
QC,30-44,3625,5275,5065,4660,4880,6045,5645,3555,4765,6275,5315,3715,4400,5285,5935,4130,2865,3640,4295,4395,3145,1265,3120,2845
QC,45-59,930,1160,1385,1245,1395,1220,1455,785,1215,1440,1360,815,925,1275,1470,1195,1025,1085,1090,955,795,345,610,660
QC,60-74,240,350,330,450,465,455,360,335,480,750,520,370,305,525,470,515,435,725,460,325,260,100,220,355
QC,75+,40,65,55,90,110,85,70,60,75,130,110,85,85,100,80,80,85,145,85,50,40,20,35,50
ON,0-14,3065,5320,6070,5010,8060,6050,4950,4215,3725,4135,4525,4815,5270,6585,6165,4980,4540,7160,7860,5480,4630,1915,2820,2725
ON,15-29,5805,8060,8315,7480,8775,9735,7260,6095,8270,8485,9605,11145,12970,11370,10355,10655,10860,14045,15795,10990,11155,6605,5075,6090
ON,30-44,7435,10015,10920,9330,10590,11355,8360,6685,8620,8110,9050,11585,13220,14675,12265,10920,11385,15810,17215,12475,12355,6090,6540,5705
ON,45-59,2325,2620,2620,2725,2685,2705,2230,1850,2350,2725,2370,2230,2100,2560,2350,2275,2185,3065,2880,1965,2230,865,1445,1440
ON,60-74,930,1380,1410,1600,1495,1925,1610,1870,1900,3010,1990,1290,1420,2070,1715,1910,1785,2740,1785,1530,1645,515,1140,1040
ON,75+,215,295,325,355,300,470,355,410,405,785,510,325,280,510,385,430,405,705,405,335,300,120,230,180
MB,0-14,735,1025,1015,1015,1165,1365,1205,820,920,1150,1040,650,720,1190,1050,765,680,1225,1380,990,610,295,520,335
MB,15-29,1000,1215,1275,1070,1330,1535,1065,840,1255,1295,955,735,1125,1210,1035,1075,1050,1740,2110,1345,1030,505,700,715
MB,30-44,1070,1400,1425,1315,1475,1930,1525,965,1380,1605,1390,855,1285,1695,1395,1220,1140,1840,2095,1430,1115,525,775,640
MB,45-59,220,315,275,240,265,345,330,230,275,305,275,175,190,275,315,195,220,330,405,265,160,85,160,120
MB,60-74,40,65,80,75,55,105,100,100,80,155,95,55,80,115,80,130,120,215,135,105,95,35,80,70
MB,75+,10,15,10,10,20,15,5,30,20,20,10,10,10,20,20,30,20,30,25,25,15,10,10,10
SK,0-14,490,835,870,740,1170,1190,1000,715,790,1145,1115,690,860,1125,1170,695,640,970,1480,965,800,340,485,295
SK,15-29,850,1175,1110,800,1055,1195,800,685,1025,920,830,600,1140,1035,890,765,760,955,1305,815,630,275,345,395
SK,30-44,805,1310,1370,1015,1485,1710,1345,1090,1585,1700,1595,1085,1645,1845,1720,1040,1030,1475,2215,1440,1235,530,710,495
SK,45-59,175,255,265,250,325,385,270,205,350,350,345,210,265,285,370,270,260,290,375,235,235,95,115,105
SK,60-74,35,50,50,50,55,45,45,65,70,115,75,45,75,95,70,110,145,215,115,100,110,30,55,70
SK,75+,0,0,10,0,0,0,10,10,10,15,10,10,10,10,10,20,20,25,15,15,10,0,15,10
AB,0-14,1510,2450,2970,2730,3940,3280,2125,1715,2100,2370,1680,1310,1540,2035,1875,1545,1410,2045,2225,1740,1505,595,815,880
AB,15-29,2470,3520,3835,3290,4065,4245,2945,2490,4175,3610,2530,2510,3630,3825,3370,3065,2700,3960,4480,3395,2670,1545,1560,1785
AB,30-44,3235,4690,5800,5325,5720,5990,3705,2890,5180,3990,2745,2985,4030,3990,3490,3100,2810,3900,4340,3415,2925,1635,1645,1790
AB,45-59,725,950,1150,1055,1165,1290,800,675,1205,1200,820,735,890,900,900,765,730,1055,890,740,715,295,395,410
AB,60-74,235,295,365,415,405,530,430,515,620,925,560,390,470,735,640,785,765,1260,645,630,580,185,415,375
AB,75+,25,60,45,55,65,90,55,65,85,200,110,75,65,145,120,105,135,200,100,125,85,20,65,55
BC,0-14,860,1545,1755,1475,2370,1660,1295,1035,1195,1395,1145,1055,1340,1625,1545,1130,1105,1635,2085,1580,1375,665,645,790
BC,15-29,2140,2720,3205,2610,3365,4005,2400,1980,3600,3355,3025,3285,4555,4105,3650,3485,2980,4660,5700,3915,3695,2425,1445,2370
BC,30-44,2585,3430,4145,3125,4385,4130,2705,2360,4115,3230,2995,3395,4755,4460,4050,3555,3295,5060,6230,4585,4365,2405,1940,2435
BC,45-59,820,995,1185,1015,1100,1175,805,665,1025,1065,840,705,925,950,925,785,700,1135,1240,950,930,370,470,480
BC,60-74,315,445,525,535,470,635,510,605,590,900,580,410,510,765,595,660,625,970,530,630,570,195,335,320
BC,75+,60,85,80,75,80,115,110,130,120,210,110,95,105,180,95,125,140,230,110,140,95,25,55,60
YK,0-14,10,15,15,5,15,10,10,5,0,10,5,0,5,15,5,10,0,15,15,5,15,0,0,0
YK,15-29,15,25,30,15,20,15,15,15,30,25,20,10,45,25,30,25,20,50,50,35,25,10,10,15
YK,30-44,25,25,40,15,25,25,15,25,35,20,25,20,40,40,25,25,35,40,50,40,40,10,20,5
YK,45-59,5,5,5,0,5,0,0,0,0,10,0,0,0,0,0,0,0,5,10,10,10,0,0,0
YK,60-74,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0
YK,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,0-14,0,20,15,5,0,5,5,5,0,15,5,10,15,10,5,0,15,0,10,0,10,0,0,10
NT,15-29,5,20,20,10,15,20,10,15,25,15,15,15,50,25,20,30,25,25,20,20,10,15,0,10
NT,30-44,15,20,30,25,30,25,10,15,40,30,15,20,35,25,20,15,10,15,15,10,20,10,5,0
NT,45-59,5,10,5,0,5,5,5,0,20,10,0,5,5,0,10,5,0,5,0,0,0,0,0,0
NT,60-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
NT,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,0-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
NU,15-29,0,5,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0
NU,30-44,5,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
NU,45-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,60-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU,75+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,10,10,30,30,10,20,15,5,10,15,5,5,0,5,0,0,0,0,0,10,0,0,0,0
